Distribuidora,UF,Ranking,Tarifa Convencional,Tarifa Branca - Ponta,Tarifa Branca - Intermediária,Tarifa Branca - Fora ponta,Resolução Homologatória,Início de vigência
Amazonas Energia,AM,31,"0,843","1,448","0,990","0,733",3454/2025,2026-01-01 00:00:00
Castro - DIS,PR,79,"0,682","1,156","0,861","0,566",3491/2025,2026-01-01 00:00:00
Cedrap,SP,6,"1,091","2,409","1,611","0,814",3549/2025,2026-01-01 00:00:00
Cedri,SP,22,"0,886","1,563","1,117","0,672",3531/2025,2026-01-01 00:00:00
CEGERO,SC,101,"0,535","0,853","0,651","0,449",3520/2025,2026-01-01 00:00:00
Cejama,SC,47,"0,791","1,490","1,045","0,601",3536/2025,2026-01-01 00:00:00
Celesc-DIS,SC,72,"0,696","1,171","0,793","0,597",3511/2025,2026-01-01 00:00:00
CELETRO,RS,54,"0,751","1,248","0,917","0,586",3492/2025,2026-01-01 00:00:00
Cemig-D,MG,28,"0,859","1,662","1,096","0,709",3459/2025,2026-01-01 00:00:00
Cemirim,SP,71,"0,696","1,217","0,893","0,589",3455/2025,2026-01-01 00:00:00
Ceprag,SC,26,"0,864","1,669","1,158","0,646",3563/2025,2026-01-01 00:00:00
Ceraça,SC,14,"0,951","1,870","1,287","0,703",3537/2025,2026-01-01 00:00:00
Ceral Anitápolis,SC,9,"1,002","2,027","1,376","0,725",3550/2025,2026-01-01 00:00:00
Ceral Araruama,RJ,4,"1,214","2,619","1,726","0,834",3446/2025,2026-01-01 00:00:00
Ceral DIS,PR,90,"0,636","1,231","0,861","0,491",3493/2025,2026-01-01 00:00:00
Cerbranorte,SC,93,"0,631","1,026","0,775","0,525",3538/2025,2026-01-01 00:00:00
CERCI,RJ,2,"1,383","2,897","1,973","1,049",3447/2025,2026-01-01 00:00:00
Cercos,SE,7,"1,044","2,328","1,570","0,811",3456/2025,2026-01-01 00:00:00
Cerej,SC,13,"0,962","1,887","1,299","0,712",3532/2025,2026-01-01 00:00:00
Ceres,RJ,1,"1,484","3,492","2,324","1,156",3448/2025,2026-01-01 00:00:00
CERFOX,RS,42,"0,802","2,249","1,340","0,613",3501/2025,2026-01-01 00:00:00
Cergal,SC,51,"0,774","1,508","1,042","0,575",3539/2025,2026-01-01 00:00:00
Cergapa,SC,66,"0,715","1,281","0,921","0,562",3521/2025,2026-01-01 00:00:00
Cergral,SC,16,"0,934","1,831","1,262","0,692",3540/2025,2026-01-01 00:00:00
Ceriluz,RS,100,"0,552","0,873","0,659","0,445",3494/2025,2026-01-01 00:00:00
Cerim,SP,23,"0,882","1,636","1,146","0,656",3551/2025,2026-01-01 00:00:00
Ceripa,SP,44,"0,795","1,494","1,040","0,586",3449/2025,2026-01-01 00:00:00
Ceris,SP,10,"0,980","1,935","1,362","0,789",3502/2025,2026-01-01 00:00:00
CERMC,SP,12,"0,969","1,706","1,227","0,748",3552/2025,2026-01-01 00:00:00
Cermissões,RS,67,"0,714","1,282","0,925","0,568",3495/2025,2026-01-01 00:00:00
Cermoful,SC,65,"0,716","1,479","0,994","0,509",3522/2025,2026-01-01 00:00:00
Cernhe,SP,53,"0,766","1,702","1,163","0,624",3503/2025,2026-01-01 00:00:00
Cerpalo,SC,8,"1,015","1,943","1,353","0,764",3523/2025,2026-01-01 00:00:00
Cerpro,SP,45,"0,794","1,580","1,091","0,602",3457/2025,2026-01-01 00:00:00
CERRP,SP,62,"0,735","1,402","0,987","0,572",3458/2025,2026-01-01 00:00:00
Cersad,SC,84,"0,661","1,283","0,888","0,493",3524/2025,2026-01-01 00:00:00
Cersul,SC,98,"0,581","1,042","0,749","0,456",3525/2025,2026-01-01 00:00:00
Certaja,RS,92,"0,633","1,292","0,773","0,501",3496/2025,2026-01-01 00:00:00
Certel,RS,61,"0,736","1,452","1,029","0,607",3504/2025,2026-01-01 00:00:00
CERTHIL,RS,95,"0,606","0,915","0,709","0,503",3497/2025,2026-01-01 00:00:00
Certrel,SC,5,"1,127","2,366","1,579","0,792",3526/2025,2026-01-01 00:00:00
CERVAM,SP,27,"0,864","1,719","1,197","0,675",3527/2025,2026-01-01 00:00:00
Cetril,SP,20,"0,910","1,699","1,186","0,673",3553/2025,2026-01-01 00:00:00
Chesp,GO,38,"0,820","1,743","1,135","0,686",3545/2025,2026-01-01 00:00:00
Cocel,PR,87,"0,642","1,150","0,767","0,540",3476/2025,2026-01-01 00:00:00
Codesam,SC,102,"0,534","0,858","0,652","0,447",3528/2025,2026-01-01 00:00:00
Coopera,SC,83,"0,664","1,302","0,897","0,492",3533/2025,2026-01-01 00:00:00
